iter	RMSE
0	39.05962526
1	39.0567783
2	39.05386906
3	39.05102113
4	39.04859363
5	39.04636651
6	39.04455218
7	39.04278295
8	39.04141269
9	39.03982595
10	39.038712
11	39.03736083
12	39.03617295
13	39.0352663
14	39.0337359
15	39.03260879
16	39.03173198
17	39.03030294
18	39.02911778
19	39.02782478
20	39.02654777
21	39.02515111
22	39.02393006
23	39.02311634
24	39.02152012
25	39.02052317
26	39.01937044
27	39.01841047
28	39.01750777
29	39.01665076
30	39.01578192
31	39.01477691
32	39.01466929
33	39.01361902
34	39.01256775
35	39.01167888
36	39.0104488
37	39.01041067
38	39.00945521
39	39.00889545
40	39.00820456
41	39.00717716
42	39.00604869
43	39.00544058
44	39.00454677
45	39.00379233
46	39.00307239
47	39.0023116
48	39.0016234
49	39.00161648
50	39.00090004
51	39.00007586
52	38.99928416
53	38.99855421
54	38.99759831
55	38.9968071
56	38.99602362
57	38.9955795
58	38.99499174
59	38.99409012
60	38.99372279
61	38.99312881
62	38.9923443
63	38.99189573
64	38.99117346
65	38.99035474
66	38.98966458
67	38.98902848
68	38.98843809
69	38.98779744
70	38.98692281
71	38.98651521
72	38.98578434
73	38.98519087
74	38.98517849
75	38.98479993
76	38.98379493
77	38.98298935
78	38.98237273
79	38.98175292
80	38.98070476
81	38.97998117
82	38.97923643
83	38.97859938
84	38.97768301
85	38.97702668
86	38.97701687
87	38.97700308
88	38.97632641
89	38.97597618
90	38.97493807
91	38.97441556
92	38.97396337
93	38.97319546
94	38.97228151
95	38.97151632
96	38.97097032
97	38.97056637
98	38.96962368
99	38.96885056
100	38.96839292
101	38.96772739
102	38.96727693
103	38.96666807
104	38.96575832
105	38.96531303
106	38.96448677
107	38.96373766
108	38.96329672
109	38.96275176
110	38.96193702
111	38.96130968
112	38.96062145
113	38.96008324
114	38.95926281
115	38.95873618
116	38.95790469
117	38.95738145
118	38.95682054
119	38.95607844
120	38.95535264
121	38.95481756
122	38.95398863
123	38.95315127
124	38.95249305
125	38.95165793
126	38.95114423
127	38.95059953
128	38.94985821
129	38.94905028
130	38.94845557
131	38.94760546
132	38.94699269
133	38.94630154
134	38.94561626
135	38.94517594
136	38.94417391
137	38.94334126
138	38.94277104
139	38.94185384
140	38.94116788
141	38.94044199
142	38.93975992
143	38.9391323
144	38.93815739
145	38.93762645
146	38.93719671
147	38.93654318
148	38.9360477
149	38.93523859
150	38.93447344
151	38.93383434
152	38.9331381
153	38.93244987
154	38.93166989
155	38.93082161
156	38.93022061
157	38.92951545
158	38.92869929
159	38.92799476
160	38.92739256
161	38.92667096
162	38.92591364
163	38.92527387
164	38.92459178
165	38.92385127
166	38.92275401
167	38.92199579
168	38.92125887
169	38.92066696
170	38.9200204
171	38.91915272
172	38.91850486
173	38.91794672
174	38.91716015
175	38.91642722
176	38.91565074
177	38.91492097
178	38.9141322
179	38.91353874
180	38.91282446
181	38.91203556
182	38.91131184
183	38.91054357
184	38.90987684
185	38.90916427
186	38.90848703
187	38.90784971
188	38.90728742
189	38.90660455
190	38.90608274
191	38.90547338
192	38.90475315
193	38.90395287
194	38.90349237
195	38.90278571
196	38.90214249
197	38.90155888
198	38.90066909
199	38.89987749
200	38.89899071
201	38.89839799
202	38.89776969
203	38.89711174
204	38.89663403
205	38.89578991
206	38.8949968
207	38.89443743
208	38.8936888
209	38.8930347
210	38.89233009
211	38.89183982
212	38.89121629
213	38.89064544
214	38.8898842
215	38.8891655
216	38.88839201
217	38.88771643
218	38.8868403
219	38.88614795
220	38.88543501
221	38.88486017
222	38.88438928
223	38.88394022
224	38.88324569
225	38.88256137
226	38.88188795
227	38.88107542
228	38.88040147
229	38.87985887
230	38.87931761
231	38.8785749
232	38.87801193
233	38.87755189
234	38.87688414
235	38.87620239
236	38.87556619
237	38.8749028
238	38.87418965
239	38.87344155
240	38.87274126
241	38.87200929
242	38.87149542
243	38.87097664
244	38.87047769
245	38.86986887
246	38.8692467
247	38.86848314
248	38.86783889
249	38.86713712
250	38.8664687
251	38.86603712
252	38.86554623
253	38.86475879
254	38.86416348
255	38.86361621
256	38.86312751
257	38.86251532
258	38.86177823
259	38.86122077
260	38.86068599
261	38.86000624
262	38.85936851
263	38.85868568
264	38.85790455
265	38.85739919
266	38.85661838
267	38.8559805
268	38.85534111
269	38.85461904
270	38.85405409
271	38.85351408
272	38.85292538
273	38.85242076
274	38.85183125
275	38.8512889
276	38.85079327
277	38.85022285
278	38.8497278
279	38.84912745
280	38.84860969
281	38.84788154
282	38.84750959
283	38.84680495
284	38.84613509
285	38.84546378
286	38.84484594
287	38.84431103
288	38.84365936
289	38.84307593
290	38.84255561
291	38.84191371
292	38.84139945
293	38.84091158
294	38.8401831
