iter	Passed	Remaining
0	173	173215
1	197	98696
2	219	73057
3	243	60717
4	263	52405
5	281	46597
6	299	42458
7	317	39308
8	331	36549
9	346	34303
10	362	32558
11	378	31124
12	398	30265
13	418	29458
14	438	28771
15	459	28261
16	479	27720
17	497	27128
18	517	26719
19	539	26418
20	558	26044
21	577	25688
22	596	25353
23	618	25132
24	638	24910
25	657	24633
26	677	24414
27	699	24288
28	721	24162
29	743	24039
30	765	23915
31	786	23781
32	801	23500
33	824	23430
34	851	23471
35	870	23300
36	894	23283
37	911	23073
38	935	23063
39	955	22930
40	976	22845
41	1000	22809
42	1018	22671
43	1037	22541
44	1056	22420
45	1074	22282
46	1091	22141
47	1107	21963
48	1123	21809
49	1133	21535
50	1149	21383
51	1164	21232
52	1182	21130
53	1199	21008
54	1216	20898
55	1231	20765
56	1249	20665
57	1265	20555
58	1282	20457
59	1298	20342
60	1314	20228
61	1330	20130
62	1349	20067
63	1365	19974
64	1382	19880
65	1397	19778
66	1414	19700
67	1431	19624
68	1448	19546
69	1464	19459
70	1480	19366
71	1496	19288
72	1514	19233
73	1529	19142
74	1539	18992
75	1554	18903
76	1569	18819
77	1584	18728
78	1600	18654
79	1616	18586
80	1632	18518
81	1650	18482
82	1665	18405
83	1680	18330
84	1696	18265
85	1712	18205
86	1724	18095
87	1735	17988
88	1751	17928
89	1767	17868
90	1783	17813
91	1799	17755
92	1814	17697
93	1832	17657
94	1847	17596
95	1862	17539
96	1877	17475
97	1896	17457
98	1912	17407
99	1928	17353
100	1944	17307
101	1960	17259
102	1976	17213
103	1992	17169
104	2008	17119
105	2024	17074
106	2040	17032
107	2056	16984
108	2071	16935
109	2086	16885
110	2102	16841
111	2120	16816
112	2135	16766
113	2151	16721
114	2168	16691
115	2187	16670
116	2204	16635
117	2219	16593
118	2234	16545
119	2249	16495
120	2263	16445
121	2279	16404
122	2293	16355
123	2309	16315
124	2324	16272
125	2340	16238
126	2357	16203
127	2373	16167
128	2387	16120
129	2403	16084
130	2420	16059
131	2437	16030
132	2452	15990
133	2467	15949
134	2483	15914
135	2500	15884
136	2515	15844
137	2530	15806
138	2547	15777
139	2561	15737
140	2577	15701
141	2592	15662
142	2606	15622
143	2622	15586
144	2638	15560
145	2655	15533
146	2671	15504
147	2687	15472
148	2702	15436
149	2718	15403
150	2733	15367
151	2748	15330
152	2765	15307
153	2781	15282
154	2797	15251
155	2812	15217
156	2827	15180
157	2843	15153
158	2858	15121
159	2875	15096
160	2889	15059
161	2905	15031
162	2921	15000
163	2936	14970
164	2952	14941
165	2967	14908
166	2984	14887
167	2999	14855
168	3015	14825
169	3030	14797
170	3045	14766
171	3062	14740
172	3078	14717
173	3093	14684
174	3109	14658
175	3126	14638
176	3142	14609
177	3157	14581
178	3174	14558
179	3190	14534
180	3205	14505
181	3220	14476
182	3235	14446
183	3251	14420
184	3267	14395
185	3282	14366
186	3298	14339
187	3314	14317
188	3330	14292
189	3349	14277
190	3364	14250
191	3379	14223
192	3395	14196
193	3410	14169
194	3425	14139
195	3440	14113
196	3456	14090
197	3472	14064
198	3487	14039
199	3503	14014
200	3518	13988
201	3533	13959
202	3549	13936
203	3565	13911
204	3579	13881
205	3594	13855
206	3612	13837
207	3627	13813
208	3644	13794
209	3660	13771
210	3677	13751
211	3693	13729
212	3710	13707
213	3724	13681
214	3740	13657
215	3756	13634
216	3772	13612
217	3789	13591
218	3805	13571
219	3820	13543
220	3835	13520
221	3850	13495
222	3866	13470
223	3881	13446
224	3896	13422
225	3911	13396
226	3927	13375
227	3943	13354
228	3960	13333
229	3976	13313
230	3992	13292
231	4009	13272
232	4027	13257
233	4043	13235
234	4058	13213
235	4075	13193
236	4091	13171
237	4105	13145
238	4121	13123
239	4136	13098
240	4153	13080
241	4171	13066
242	4192	13059
243	4210	13046
244	4230	13035
245	4247	13017
246	4264	13001
247	4283	12989
248	4301	12974
249	4319	12959
250	4338	12945
251	4357	12933
252	4376	12921
253	4395	12909
254	4413	12893
255	4430	12875
256	4448	12860
257	4467	12847
258	4487	12837
259	4503	12817
260	4517	12792
